datetime,open,high,low,close,volume
2025-08-29 17:39:00.105580,1.265,1.26516,1.26487,1.26506,12837
2025-08-29 18:39:00.105580,1.26513,1.2653,1.26496,1.2652,1672
2025-08-29 19:39:00.105580,1.26508,1.26513,1.26494,1.26503,6626
2025-08-29 20:39:00.105580,1.26498,1.26502,1.2649,1.265,4469
2025-08-29 21:39:00.105580,1.26488,1.26502,1.2648,1.2649,5590
2025-08-29 22:39:00.105580,1.26453,1.26458,1.26435,1.26444,1069
2025-08-29 23:39:00.105580,1.26458,1.26467,1.26449,1.26457,5719
2025-08-30 00:39:00.105580,1.26485,1.26494,1.26456,1.26472,1441
2025-08-30 01:39:00.105580,1.26459,1.26465,1.26453,1.26462,5904
2025-08-30 02:39:00.105580,1.26438,1.26451,1.26416,1.26422,1960
2025-08-30 03:39:00.105580,1.26433,1.26449,1.26417,1.26429,2106
2025-08-30 04:39:00.105580,1.26434,1.26455,1.26425,1.26438,1853
2025-08-30 05:39:00.105580,1.26414,1.26422,1.26404,1.26407,3508
2025-08-30 06:39:00.105580,1.26391,1.26402,1.26378,1.26388,766
2025-08-30 07:39:00.105580,1.26394,1.26415,1.2638,1.26408,517
2025-08-30 08:39:00.105580,1.26372,1.26383,1.26369,1.2638,3936
2025-08-30 09:39:00.105580,1.26388,1.26397,1.26363,1.26395,4976
2025-08-30 10:39:00.105580,1.26392,1.26408,1.26391,1.26399,2795
2025-08-30 11:39:00.105580,1.264,1.26408,1.26394,1.26402,5107
2025-08-30 12:39:00.105580,1.26389,1.26419,1.2638,1.26397,19844
2025-08-30 13:39:00.105580,1.26403,1.2641,1.26384,1.26398,2182
2025-08-30 14:39:00.105580,1.26387,1.26405,1.26374,1.26384,1529
2025-08-30 15:39:00.105580,1.26408,1.26431,1.26403,1.26419,4310
2025-08-30 16:39:00.105580,1.26414,1.26416,1.26394,1.2641,6494
2025-08-30 17:39:00.105580,1.26435,1.2646,1.26435,1.26451,3981
2025-08-30 18:39:00.105580,1.26402,1.26404,1.2639,1.26394,8161
2025-08-30 19:39:00.105580,1.26398,1.26419,1.26386,1.26414,5657
2025-08-30 20:39:00.105580,1.26395,1.26432,1.26389,1.26407,2425
2025-08-30 21:39:00.105580,1.26389,1.26392,1.26381,1.26385,5212
2025-08-30 22:39:00.105580,1.26401,1.26404,1.26394,1.26404,4108
2025-08-30 23:39:00.105580,1.26407,1.26431,1.26401,1.2642,6793
2025-08-31 00:39:00.105580,1.264,1.26405,1.26389,1.26397,1887
2025-08-31 01:39:00.105580,1.26383,1.26396,1.26375,1.2638,1097
2025-08-31 02:39:00.105580,1.26384,1.26402,1.26382,1.26398,2994
2025-08-31 03:39:00.105580,1.26379,1.26391,1.26364,1.26371,7259
2025-08-31 04:39:00.105580,1.26377,1.26378,1.26372,1.26372,2577
2025-08-31 05:39:00.105580,1.2638,1.26381,1.26355,1.26369,2779
2025-08-31 06:39:00.105580,1.26361,1.2638,1.26337,1.26346,1347
2025-08-31 07:39:00.105580,1.26384,1.26397,1.26374,1.26377,4192
2025-08-31 08:39:00.105580,1.26384,1.26412,1.26377,1.26383,18052
2025-08-31 09:39:00.105580,1.26392,1.2641,1.26387,1.26392,5751
2025-08-31 10:39:00.105580,1.26407,1.26416,1.26399,1.26399,5915
2025-08-31 11:39:00.105580,1.26432,1.26443,1.26409,1.26414,1540
2025-08-31 12:39:00.105580,1.26433,1.2644,1.26421,1.2644,6347
2025-08-31 13:39:00.105580,1.26434,1.26435,1.26429,1.26434,3211
2025-08-31 14:39:00.105580,1.26423,1.26429,1.26415,1.26416,4593
2025-08-31 15:39:00.105580,1.26418,1.26427,1.26418,1.26426,2767
2025-08-31 16:39:00.105580,1.2642,1.26427,1.26411,1.26424,3376
2025-08-31 17:39:00.105580,1.26422,1.26431,1.26417,1.26419,2598
2025-08-31 18:39:00.105580,1.26406,1.26433,1.26397,1.26415,1950
2025-08-31 19:39:00.105580,1.26411,1.2644,1.26399,1.26424,5026
2025-08-31 20:39:00.105580,1.26401,1.26403,1.26392,1.26399,2602
2025-08-31 21:39:00.105580,1.26392,1.26398,1.26368,1.26386,1867
2025-08-31 22:39:00.105580,1.26374,1.26406,1.26362,1.26396,1865
2025-08-31 23:39:00.105580,1.26386,1.26396,1.26374,1.26389,2539
2025-09-01 00:39:00.105580,1.264,1.26421,1.26398,1.26415,2539
2025-09-01 01:39:00.105580,1.2643,1.26433,1.2642,1.26422,1476
2025-09-01 02:39:00.105580,1.26417,1.26443,1.26405,1.26434,4140
2025-09-01 03:39:00.105580,1.26422,1.26431,1.26414,1.26422,1378
2025-09-01 04:39:00.105580,1.26423,1.26433,1.26394,1.2641,6124
2025-09-01 05:39:00.105580,1.26464,1.26476,1.26458,1.26468,2384
2025-09-01 06:39:00.105580,1.26447,1.26464,1.26446,1.26458,3793
2025-09-01 07:39:00.105580,1.26458,1.2649,1.26448,1.26448,2337
2025-09-01 08:39:00.105580,1.26446,1.26464,1.26445,1.26455,4962
2025-09-01 09:39:00.105580,1.26459,1.26464,1.26443,1.26448,6377
2025-09-01 10:39:00.105580,1.26461,1.26471,1.26446,1.26469,10413
2025-09-01 11:39:00.105580,1.26462,1.26482,1.26461,1.26473,10311
2025-09-01 12:39:00.105580,1.26467,1.26493,1.26453,1.26492,2797
2025-09-01 13:39:00.105580,1.26482,1.26503,1.2648,1.26486,6061
2025-09-01 14:39:00.105580,1.26488,1.26513,1.2648,1.265,792
2025-09-01 15:39:00.105580,1.26543,1.26557,1.26541,1.2655,1120
2025-09-01 16:39:00.105580,1.26557,1.26569,1.26531,1.26551,5353
2025-09-01 17:39:00.105580,1.26567,1.26595,1.2656,1.26562,15105
