datetime,open,high,low,close,volume
2025-08-29 17:39:00.278005,150.5,152.441,148.938,151.178,12837
2025-08-29 18:39:00.278005,152.044,154.095,150.079,152.942,1672
2025-08-29 19:39:00.278005,151.463,152.052,149.877,150.926,6626
2025-08-29 20:39:00.278005,150.265,150.702,149.242,150.472,4469
2025-08-29 21:39:00.278005,149.111,150.719,148.14,149.31,5590
2025-08-29 22:39:00.278005,145.035,145.68,142.967,144.046,1069
2025-08-29 23:39:00.278005,145.769,146.88,144.736,145.708,5719
2025-08-30 00:39:00.278005,149.15,150.168,145.719,147.513,1441
2025-08-30 01:39:00.278005,146.024,146.713,145.299,146.415,5904
2025-08-30 02:39:00.278005,143.564,145.084,140.913,141.582,1960
2025-08-30 03:39:00.278005,142.974,144.87,141.007,142.52,2106
2025-08-30 04:39:00.278005,142.963,145.396,141.832,143.416,1853
2025-08-30 05:39:00.278005,140.452,141.454,139.259,139.689,3508
2025-08-30 06:39:00.278005,137.846,139.171,136.325,137.551,766
2025-08-30 07:39:00.278005,138.195,140.66,136.584,139.852,517
2025-08-30 08:39:00.278005,135.572,136.916,135.26,136.497,3936
2025-08-30 09:39:00.278005,137.493,138.585,134.613,138.364,4976
2025-08-30 10:39:00.278005,138.08,139.982,138.035,138.993,2795
2025-08-30 11:39:00.278005,139.135,140.047,138.431,139.42,5107
2025-08-30 12:39:00.278005,137.701,141.308,136.651,138.764,19844
2025-08-30 13:39:00.278005,139.363,140.226,137.177,138.822,2182
2025-08-30 14:39:00.278005,137.563,139.698,135.947,137.145,1529
2025-08-30 15:39:00.278005,139.929,142.714,139.398,141.243,4310
2025-08-30 16:39:00.278005,140.541,140.887,138.222,140.164,6494
2025-08-30 17:39:00.278005,143.067,146.035,143.043,144.931,3981
2025-08-30 18:39:00.278005,139.056,139.244,137.61,138.123,8161
2025-08-30 19:39:00.278005,138.611,141.049,137.198,140.478,5657
2025-08-30 20:39:00.278005,138.308,142.698,137.655,139.751,2425
2025-08-30 21:39:00.278005,137.582,137.928,136.549,137.11,5212
2025-08-30 22:39:00.278005,138.963,139.368,138.181,139.359,4108
2025-08-30 23:39:00.278005,139.726,142.575,139.069,141.321,6793
2025-08-31 00:39:00.278005,138.787,139.411,137.549,138.467,1887
2025-08-31 01:39:00.278005,136.856,138.341,135.909,136.493,1097
2025-08-31 02:39:00.278005,136.89,139.116,136.701,138.561,2994
2025-08-31 03:39:00.278005,136.389,137.907,134.628,135.411,7259
2025-08-31 04:39:00.278005,136.218,136.34,135.586,135.634,2577
2025-08-31 05:39:00.278005,136.46,136.596,133.456,135.209,2779
2025-08-31 06:39:00.278005,134.221,136.497,131.385,132.39,1347
2025-08-31 07:39:00.278005,136.999,138.56,135.746,136.149,4192
2025-08-31 08:39:00.278005,136.988,140.281,136.103,136.845,18052
2025-08-31 09:39:00.278005,137.906,139.939,137.26,137.853,5751
2025-08-31 10:39:00.278005,139.655,140.788,138.72,138.751,5915
2025-08-31 11:39:00.278005,142.661,143.955,139.928,140.535,1540
2025-08-31 12:39:00.278005,142.818,143.657,141.324,143.628,6347
2025-08-31 13:39:00.278005,142.93,143.118,142.335,142.929,3211
2025-08-31 14:39:00.278005,141.578,142.328,140.667,140.845,4593
2025-08-31 15:39:00.278005,141.072,142.149,141.053,142.009,2767
2025-08-31 16:39:00.278005,141.465,142.265,140.358,141.836,3376
2025-08-31 17:39:00.278005,141.804,142.777,141.1,141.41,2598
2025-08-31 18:39:00.278005,139.748,142.959,138.785,140.872,1950
2025-08-31 19:39:00.278005,140.296,143.816,138.88,141.918,5026
2025-08-31 20:39:00.278005,139.16,139.388,138.068,138.844,2602
2025-08-31 21:39:00.278005,138.016,138.814,135.216,137.314,1867
2025-08-31 22:39:00.278005,135.884,139.689,134.474,138.5,1865
2025-08-31 23:39:00.278005,137.329,138.571,135.941,137.767,2539
2025-09-01 00:39:00.278005,139.148,141.583,138.86,140.859,2539
2025-09-01 01:39:00.278005,142.606,142.957,141.442,141.64,1476
2025-09-01 02:39:00.278005,141.075,144.205,139.625,143.174,4140
2025-09-01 03:39:00.278005,141.692,142.755,140.736,141.68,1378
2025-09-01 04:39:00.278005,141.732,142.965,138.374,140.196,6124
2025-09-01 05:39:00.278005,146.653,148.151,145.93,147.185,2384
2025-09-01 06:39:00.278005,144.747,146.754,144.616,146.003,3793
2025-09-01 07:39:00.278005,146.008,149.813,144.837,144.872,2337
2025-09-01 08:39:00.278005,144.565,146.77,144.518,145.646,4962
2025-09-01 09:39:00.278005,146.148,146.832,144.219,144.855,6377
2025-09-01 10:39:00.278005,146.461,147.659,144.756,147.511,10413
2025-09-01 11:39:00.278005,146.731,149.07,146.53,147.966,10311
2025-09-01 12:39:00.278005,147.316,150.407,145.704,150.265,2797
2025-09-01 13:39:00.278005,149.009,151.519,148.801,149.547,6061
2025-09-01 14:39:00.278005,149.891,152.822,148.829,151.212,792
2025-09-01 15:39:00.278005,156.369,158.029,156.055,157.162,1120
2025-09-01 16:39:00.278005,157.946,159.38,154.802,157.278,5353
2025-09-01 17:39:00.278005,159.191,162.417,158.298,158.505,15105
2025-09-01 18:39:00.278005,158.361,159.012,156.892,157.011,2594
2025-09-01 19:39:00.278005,155.384,155.652,154.733,155.021,23668
